filename,band_id,x_center,median_l,median_a,median_b,median_c,delta_chroma,std_l,label_id
000.bmp,0,13,44.6,-4.16,-0.85,4.24,22.55,1.95,8
000.bmp,1,31,33.7,34,31.14,46.11,36.12,3.11,2
000.bmp,2,49,36.74,24.48,32.84,40.96,27.73,4.77,2
000.bmp,3,77,41.71,-6.62,25.46,26.31,7.07,5.32,10
001.bmp,0,43,39.7,29.27,34.84,45.51,31.16,5.08,2
001.bmp,1,65,28.88,-13.93,29.42,32.55,15.35,5.05,5
001.bmp,2,83,52.53,7.72,0.59,7.74,24.11,9.35,7
002.bmp,0,19,68.93,-2.34,22.17,22.3,9.33,1.6,10
002.bmp,1,39,46.69,39.48,26.11,47.34,45.31,3.69,2
002.bmp,2,58,80.91,-13.83,63.38,64.87,51.38,0.88,4
002.bmp,3,79,46.33,43.34,29.22,52.27,49.94,0.72,2
003.bmp,0,11,32.01,10.25,20.44,22.86,10.87,3.86,1
003.bmp,1,31,13.6,-4.84,16.09,16.81,9.35,8.42,0
003.bmp,2,50,33.38,33.75,24.75,41.85,33.74,2.76,2
003.bmp,3,72,46.64,-3.5,23.64,23.9,3.54,3.87,10
004.bmp,0,20,69.65,-6.41,24.05,24.89,8.7,6.83,10
004.bmp,1,38,59.57,24.28,46.69,52.62,42.87,2.63,3
004.bmp,2,56,20.47,-5.8,4.47,7.32,11.01,2.49,0
004.bmp,3,76,43.01,9.42,22.25,24.16,16.01,2.5,1
005.bmp,0,9,45.93,30.42,25.06,39.42,25.4,1.85,2
005.bmp,1,27,46.37,28,27.66,39.36,23.5,2.65,2
005.bmp,2,44,39.28,8.98,21.55,23.34,3.78,3.5,1
005.bmp,3,73,58.12,-2.72,19.58,19.77,8.27,4.52,10
006.bmp,0,9,54.49,-28.03,20.2,34.55,32.11,3.85,5
006.bmp,1,28,40.2,8.02,30.41,31.45,7.2,3.42,1
006.bmp,2,48,15.78,-8.58,17.08,19.11,18.89,2.3,0
006.bmp,3,71,74.05,-5.92,31.7,32.25,7.42,2.75,10
007.bmp,0,8,69.21,-4.43,2.02,4.87,11.91,8.34,9
007.bmp,1,29,19.37,5.97,13.62,14.87,10.1,3.6,1
007.bmp,2,49,26.24,28.93,21.91,36.29,34.01,2.69,2
007.bmp,3,68,35.44,-4.79,18.83,19.43,4.95,7.13,10
008.bmp,0,11,40.2,-6.49,22.32,23.25,5.85,1.75,10
008.bmp,1,44,24.76,4.27,13.46,14.12,8.11,3.2,1
008.bmp,2,62,43.57,-23.24,16.21,28.34,21.67,3.59,5
008.bmp,3,78,35.28,5.7,-14.25,15.35,33.98,5.2,7
009.bmp,0,13,56.9,-11.59,30.7,32.82,11.24,5.33,10
009.bmp,1,38,37.93,4.34,15.72,16.31,10.68,2.38,1
009.bmp,2,58,63.57,-26.75,13.7,30.06,25.78,4.27,5
009.bmp,3,76,47.93,13.75,-32.81,35.58,58.77,1.62,7
010.bmp,0,16,61.54,-2,25.23,25.31,9.45,3.68,10
010.bmp,1,43,59.24,24.69,50.08,55.83,44.35,1.43,3
010.bmp,2,62,40.37,15.45,17.94,23.68,19.17,5.85,1
010.bmp,3,80,53.08,-25.91,9.16,27.48,23.3,3.74,5
011.bmp,0,37,44.88,10.69,25.75,27.88,10.33,2.17,1
011.bmp,1,60,50.56,18.62,-44.02,47.79,77.37,1.44,7
011.bmp,2,79,55.48,32.42,24.58,40.68,31.06,1.71,2
012.bmp,0,16,31.63,-6.41,20.47,21.45,5.02,4.36,10
012.bmp,1,45,21.79,18.09,22.8,29.1,20.12,5.88,2
