filename,band_id,x_center,width,energy,sn_ratio,sharpness,delta_chroma,symmetry,label
000.bmp,0,13,9,38.0971,20.81,9.94,20.53,0.4567,0
000.bmp,1,31,9,77.0448,42.09,12.85,34.24,0.1737,0
000.bmp,2,49,8,70.1497,38.32,11.59,27.21,0.2832,0
000.bmp,3,77,11,26.2779,14.35,11.85,6.88,0.5737,0
001.bmp,0,22,8,4.9594,2.37,5.32,2.4,0.8013,0
001.bmp,1,43,9,49.7268,23.71,12.28,28.84,0.0998,0
001.bmp,2,65,13,29.7771,14.2,12.76,10.52,0.1693,0
001.bmp,3,83,8,32.7551,15.62,5.61,14.07,0.1945,0
002.bmp,0,19,12,21.6242,14.9,4.84,9.84,0.1151,0
002.bmp,1,39,9,90.7966,62.55,21.77,43.91,0.2587,0
002.bmp,2,58,10,97.6494,67.27,0.68,8.58,0.4645,0
002.bmp,3,79,11,99.418,68.49,17.53,48.53,0.1716,0
003.bmp,0,11,9,36.9471,22.68,16.37,10.7,0.4895,0
003.bmp,1,31,8,61.4351,37.72,16.52,12.35,0.5112,0
003.bmp,2,50,9,67.2956,41.31,11.45,32.61,0.2214,0
003.bmp,3,72,10,15.0249,9.22,5.78,2.73,0.5948,0
004.bmp,0,20,11,17.9458,12.42,8.57,7.75,0.3934,0
004.bmp,1,38,10,83.4873,57.76,9.22,40.47,0.3276,0
004.bmp,2,56,12,72.1628,49.93,25.72,11.17,0.3576,0
004.bmp,3,76,13,49.6139,34.33,24.45,7.61,0.9859,0
005.bmp,0,9,10,60.6604,38.39,14.78,22.98,0.2283,0
005.bmp,1,27,10,56.7983,35.94,12.31,21.77,0.2171,0
005.bmp,2,44,8,37.4222,23.68,18.17,4.21,0.1314,0
005.bmp,3,73,10,20.567,13.01,8.31,7.16,0.7166,0
006.bmp,0,9,8,57.8756,28.76,10.71,30.32,0.1176,0
006.bmp,1,28,10,47.883,23.79,17.61,7.36,0.2834,0
006.bmp,2,48,9,82.8696,41.18,31.71,18.16,0.4613,0
006.bmp,3,71,10,11.9898,5.96,4,7.17,0.2766,0
007.bmp,0,8,10,19.9993,14.31,6.89,0.52,0,0
007.bmp,1,29,9,38.7375,27.72,10.94,9.85,0.4914,0
007.bmp,2,49,11,69.6197,49.81,9.47,31.96,0.3457,0
007.bmp,3,68,8,19.3355,13.83,8.91,5.44,0.3521,0
008.bmp,0,11,12,27.6536,17.59,12.31,5.16,0.3627,0
008.bmp,1,44,11,45.8888,29.19,17.52,7.12,0.1726,0
008.bmp,2,62,10,44.8537,28.53,8.68,20.88,0.0696,0
008.bmp,3,78,10,68.6021,43.64,14.41,26.91,0.3822,0
009.bmp,0,13,9,37.5202,14.02,14.39,12.58,0.2102,0
009.bmp,1,38,9,59.426,22.21,26.71,8.8,0.2715,0
009.bmp,2,58,9,51.4715,19.24,12.02,24.63,0.3709,0
009.bmp,3,76,9,115.4185,43.14,18.88,55.88,0.3319,0
010.bmp,0,16,10,20.1155,9.59,6.61,9.54,0.4374,0
010.bmp,1,43,11,80.1775,38.22,7.09,42.89,0.1197,0
010.bmp,2,62,12,53.7554,25.62,15.72,19.41,0.1297,0
010.bmp,3,80,11,45.1559,21.52,11,22.19,0.3676,0
011.bmp,0,37,11,46.3242,31.08,20.37,9.72,0.1659,0
011.bmp,1,60,10,147.3576,98.85,16.33,70.41,0.2632,0
011.bmp,2,79,10,62.6364,42.02,14.75,30.7,0.1315,0
012.bmp,0,16,10,17.3428,7.94,8.8,5.52,0.2713,0
012.bmp,1,45,10,50.2371,23.01,13.49,19.34,0.224,0
012.bmp,2,61,10,51.156,23.43,14.03,21.58,0.2598,0
012.bmp,3,78,11,32.1859,14.74,11.59,13.88,0.3932,0
013.bmp,0,12,8,36.8416,25.67,14.15,2.4,0.5034,0
013.bmp,1,33,9,49.799,34.7,22.23,12.32,0.4994,0
013.bmp,2,52,9,69.8904,48.7,14.73,32.82,0.3512,0
014.bmp,0,13,8,53.6792,19.14,18.55,11.69,0.5579,0
014.bmp,1,30,8,49.8833,17.79,19.17,14.28,0.1275,0
014.bmp,2,45,11,62.4631,22.27,22.8,18.89,0.6716,0
014.bmp,3,60,9,64.3149,22.93,13.6,31.14,0.1104,0
014.bmp,4,77,10,67.6923,24.14,14.11,30.68,0.484,0
015.bmp,0,16,10,23.4515,12.39,9.48,9.59,0.2749,0
015.bmp,1,40,11,79.0469,41.76,13.52,36.72,0.2129,0
015.bmp,2,58,11,75.0218,39.63,15.41,26.66,0.3917,0
015.bmp,3,78,11,42.1964,22.29,15.94,10.36,0.4379,0
016.bmp,0,17,10,14.9318,8.52,5.61,7.63,0.4756,0
016.bmp,1,41,10,92.6469,52.85,18.88,45.54,0.3402,0
016.bmp,2,59,12,54.5041,31.09,17.79,17.34,0.4399,0
016.bmp,3,79,12,56.7131,32.35,16.63,23.46,0.6494,0
017.bmp,0,16,13,2.9247,1.61,4.46,1.71,0.4986,0
017.bmp,1,40,11,52.877,29.16,16.09,16.39,0.1135,0
017.bmp,2,60,10,38.9653,21.49,4.94,17.63,0.248,0
017.bmp,3,80,11,81.5827,45,11.72,22.88,0.9591,0
018.bmp,0,13,9,51.7119,18.09,14.92,19.86,0.3712,0
018.bmp,1,29,8,55.3598,19.37,23.88,7.73,0.2192,0
018.bmp,2,47,11,46.1472,16.15,2.65,22.28,0.062,0
018.bmp,3,73,9,17.7418,6.21,7.75,3.3,0.7885,0
019.bmp,0,13,7,18.6191,10.86,9.65,5.26,0.1126,0
019.bmp,1,38,8,39.9567,23.3,1.88,21.13,0.1071,0
019.bmp,2,58,10,50.9522,29.71,1.85,12.39,0.162,0
019.bmp,3,75,13,63.8377,37.22,1.88,1.66,1,0
020.bmp,0,9,11,16.372,10.51,2.9,8.59,0.1949,0
020.bmp,1,45,8,63.1322,40.53,13.02,27.12,0.2612,0
020.bmp,2,59,9,86.2078,55.34,17.58,29.04,0.7705,0
020.bmp,3,74,9,13.6543,8.77,9.66,8.73,0.2252,0
021.bmp,0,13,8,43.6841,30.74,18.51,10.58,0.4172,0
021.bmp,1,34,9,39.7529,27.97,9.6,17.59,0.2818,0
021.bmp,2,51,10,50.5522,35.57,7.2,26.9,0.4001,0
021.bmp,3,69,7,13.7486,9.67,1.73,7.17,0.2937,0
022.bmp,0,7,14,4.5363,1.88,3.37,3.19,0.7741,1
022.bmp,1,40,8,42.3878,17.57,20.23,6.55,0.4097,0
022.bmp,2,62,12,47.9502,19.88,23.07,4.32,0.5781,0
022.bmp,3,76,10,40.1112,16.63,23.07,8.13,0.4998,0
023.bmp,0,8,13,12.8735,7.39,1.95,0.99,0,0
023.bmp,1,40,12,83.591,48,11.71,0.63,0.9196,0
023.bmp,2,63,11,41.6644,23.92,0.77,21.62,0.4662,0
024.bmp,0,14,11,12.7769,5.84,7.07,5.38,0.9625,0
024.bmp,1,41,12,60.7567,27.78,2.89,32.95,0.2381,0
024.bmp,2,61,11,65.9465,30.16,15.59,17.98,0.2382,0
024.bmp,3,81,10,68.9964,31.55,17.78,38.02,0.2104,0
025.bmp,0,11,11,7.8849,2.92,5.99,4.69,0.3331,0
025.bmp,1,40,11,25.2265,9.35,8.97,1.75,0.5082,0
025.bmp,2,60,12,98.411,36.46,8.98,50.1,0.128,0
025.bmp,3,81,10,52.1271,19.31,2.13,1.85,0,0
026.bmp,0,8,10,37.1107,22.72,15.56,12.4,0.1712,0
026.bmp,1,28,14,13.6321,8.35,15.65,18.05,0.1966,0
026.bmp,2,52,13,71.056,43.51,27.25,17.82,0.3009,0
026.bmp,3,71,8,9.5631,5.86,2.28,1.34,0,0
027.bmp,0,15,10,33.359,21.41,11.28,12.24,0.1609,0
027.bmp,1,35,10,42.5916,27.34,12.54,14.8,0.1096,0
027.bmp,2,55,11,29.3211,18.82,5.74,12.29,0.2378,0
028.bmp,0,8,8,16.3546,10.68,8.54,2.94,0.7272,0
028.bmp,1,27,10,61.781,40.36,6.31,31.71,0.2942,0
028.bmp,2,48,9,23.274,15.2,7.4,1.79,0.0894,0
028.bmp,3,68,8,67.4258,44.04,11.21,35.25,0.4038,0
029.bmp,0,34,11,41.8256,32.22,15.03,9.95,0.1995,0
029.bmp,1,54,10,55.2794,42.58,15.79,18.05,0.2277,0
029.bmp,2,74,10,55.8072,42.99,0.74,1.52,0.4229,0
030.bmp,0,14,8,12.9938,5.9,5.84,2.51,0.2727,0
030.bmp,1,34,12,40.49,18.38,17.36,10.17,0.2657,0
030.bmp,2,52,10,36.6231,16.62,13.85,14.45,0.1995,0
030.bmp,3,73,12,51.1848,23.23,1.02,0.83,0.2235,0
031.bmp,0,15,9,13.3485,8.24,6.33,3.37,0.2678,0
031.bmp,1,34,10,36.4235,22.47,14.98,4.57,0.1852,0
031.bmp,2,52,11,47.4476,29.27,13.67,15.34,0.091,0
031.bmp,3,71,9,51.9302,32.04,1.02,1.72,0.4574,0
032.bmp,0,15,8,14.3923,14.15,5.7,1.66,0.3987,0
032.bmp,1,37,10,40.6203,39.93,14.29,4.68,0.3739,0
032.bmp,2,56,12,42.6811,41.96,10.75,11.04,0.256,0
032.bmp,3,76,11,52.6763,51.78,0.85,1.11,0.0572,0
033.bmp,0,13,8,15.8343,14.72,8.87,1.85,0.5207,0
033.bmp,1,32,10,37.1191,34.52,18.57,6.57,0.3103,0
033.bmp,2,53,13,50.0587,46.55,14.78,19.79,0.2379,0
033.bmp,3,72,6,40.6058,37.76,0.91,4.52,0,0
034.bmp,0,14,9,58.3386,31.66,15.76,27.65,0.363,0
034.bmp,1,30,9,54.2219,29.42,23.53,8.67,0.2798,0
034.bmp,2,49,11,55.7567,30.26,3.74,31.69,0.2842,0
034.bmp,3,77,10,13.4025,7.27,9.34,1.96,0.5999,0
035.bmp,0,16,7,11.7587,5.33,9.98,2.98,0.2579,0
035.bmp,1,42,8,44.5229,20.2,19.01,5.1,0.4451,0
035.bmp,2,63,11,52.7813,23.95,16.91,26.68,0.3457,0
035.bmp,3,78,10,49.199,22.32,23.43,8.09,0.3367,0
036.bmp,0,18,9,22.3249,7.79,10.86,2.57,0.532,0
036.bmp,1,41,10,61.3426,21.39,13.91,22.52,0.4437,0
